angDist,_RAJ2000,_DEJ2000,KIC,Teff,log(g),Mass,Prot,e_Prot,n_Prot,Rper,LPH,w,Ref,_RA,_DE,ra_ep2000,dec_ep2000,errHalfMaj,errHalfMin,errPosAng,ra,dec,hip,tycho2_id,solution_id,source_id,random_index,ref_epoch,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
0.089378,293.46991,47.04572,10079226,5843,4.39,1.0601,15.694,0.165,,534.42,0.343,0.2677,0,293.46991,47.04572,293.4698969870,47.0456968104,0.020,0.012,90,293.4698857476,47.0455026100,,3560-2509-1,1635378410781933568,2128409045404259328,567108,2015.0,0.161,0.250,6.67,0.31,-1.838,1.359,-46.608,0.795,0.227,0.195,-0.354,-0.110,0.723,-0.585,-0.371,-0.804,-0.012,-0.265,88,88,87,87,1,1,,0.47,3.359e+02,1,4.71,3.919,2.384e-05,5,14,0,0.428,0.118,0.321,0.125,-104.59907000,55.37530000,36.40514800,-7.44701530,111,1.69971e+06,3.04350e+03,9.949,NOT_AVAILABLE,79.5453148979,12.8304155099,313.8672310933,66.9448758124
0.094774,293.56528,47.09362,10079481,5887,4.34,1.073,19.909,0.168,,1122.06,0.612,0.3871,0,293.56528,47.09362,293.5652705150,47.0935944782,0.020,0.013,90,293.5651692202,47.0934920464,,3560-2321-1,1635378410781933568,2128222918702581760,1070065,2015.0,0.181,0.279,2.26,0.35,-16.551,1.327,-24.584,0.877,0.499,0.636,-0.680,-0.231,0.585,-0.563,-0.595,-0.901,-0.057,-0.021,87,87,87,80,0,7,,0.52,1.610e+02,1,5.15,3.590,2.906e-05,5,14,0,0.372,0.236,0.230,0.068,-123.99728400,80.78482000,44.76137000,30.14734600,114,2.95188e+05,7.43134e+01,11.850,NOT_AVAILABLE,79.6188830381,12.7934197997,314.0684756438,66.9624303819
0.047997,294.50085,47.03929,10081993,4940,3.86,0.8187,7.012,0.078,,49674.09,1.605,0.7723,0,294.50085,47.03929,294.5008684790,47.0392856224,0.017,0.011,90,294.5009649030,47.0393907125,,3560-2169-1,1635378410781933568,2128535695401652352,846324,2015.0,0.165,0.246,7.14,0.31,15.771,1.136,25.222,0.702,0.343,0.305,-0.544,-0.098,0.693,-0.595,-0.488,-0.835,-0.081,-0.153,99,99,99,89,0,10,,0.47,1.271e+02,1,4.66,4.462,3.392e-05,5,15,0,0.161,0.131,0.303,0.139,-95.17504000,64.10428000,42.51417500,11.15309800,122,3.22209e+05,7.81765e+02,11.754,NOT_AVAILABLE,79.8614656451,12.1991708226,315.4872463097,66.6509256852
0.117049,294.96948,47.07269,10083309,5823,4.2,1.0543,16.282,0.301,,840.72,0.619,0.4385,0,294.96948,47.07269,294.9694992450,47.0727197546,0.018,0.013,-0,294.9695716662,47.0728119295,,3560-2948-1,1635378410781933568,2128550298290456192,688779,2015.0,0.189,0.355,1.91,0.24,11.838,0.896,22.122,1.230,-0.521,-0.099,-0.665,0.571,0.633,0.098,-0.913,-0.512,-0.461,-0.314,88,88,88,84,0,4,,0.26,8.933e+01,1,2.71,13.783,3.120e-05,5,14,0,0.406,0.343,0.146,0.048,-162.21004000,60.32299400,-7.51362900,-32.01057400,104,4.35264e+05,5.22837e+02,11.428,NOT_AVAILABLE,80.0403686441,11.9300400290,316.2523639432,66.5474793946
0.077255,296.45776,47.04569,10087717,5910,4.47,1.0798,11.091,0.719,,452.67,0.49,0.3483,0,296.45776,47.04569,296.4577823020,47.0457051516,0.022,0.015,90,296.4578648415,47.0456988602,,3561-1037-1,1635378410781933568,2080538370716137600,947860,2015.0,0.212,0.326,2.06,0.40,13.498,1.482,-1.510,1.001,0.497,0.579,-0.690,-0.236,0.646,-0.640,-0.431,-0.878,-0.150,0.090,104,104,103,95,1,9,,0.75,2.362e+02,1,7.31,1.748,3.080e-05,5,17,0,0.294,0.350,0.086,0.240,-90.03964000,89.78274000,31.42014500,17.10326400,129,3.10648e+05,2.19489e+02,11.794,NOT_AVAILABLE,80.4968106402,11.0197750746,318.5028568353,66.0873708975
0.083768,297.25623,47.09711,10090373,5816,3.83,1.0523,7.888,0.053,,9678.84,1.171,0.6712,0,297.25623,47.09711,297.2562556560,47.0970946249,0.019,0.013,90,297.2562263046,47.0970452334,,3561-1243-1,1635378410781933568,2086367328529865344,5542,2015.0,0.194,0.277,2.89,0.35,-4.795,1.280,-11.854,0.857,0.550,0.526,-0.673,-0.283,0.628,-0.649,-0.453,-0.875,-0.115,0.084,96,96,96,87,0,9,,0.59,1.013e+02,1,5.80,2.804,1.899e-05,5,15,0,0.236,0.310,0.131,0.360,-78.64717000,-82.19666000,48.50911300,17.07298000,104,1.76480e+05,6.60147e+01,12.408,NOT_AVAILABLE,80.8065913853,10.5662299217,319.7575837459,65.8932923753
0.054997,298.68927,47.04723,10095411,6219,4.32,1.1769,35.372,0.134,,560.76,0.712,0.3592,0,298.68927,47.04723,298.6892833430,47.0472177232,0.026,0.019,90,298.6892516636,47.0471802484,,3562-1891-1,1635378410781933568,2085570251321943424,1607200,2015.0,0.270,0.357,1.78,0.44,-5.181,1.766,-8.994,1.272,0.310,0.300,-0.552,-0.209,0.579,-0.543,-0.528,-0.805,-0.182,0.005,87,87,87,77,0,10,,0.87,3.443e+02,1,8.48,1.295,2.835e-05,5,13,0,0.313,0.216,0.033,0.227,-99.36790500,69.51126000,39.45004300,22.86657100,103,2.94120e+05,9.08210e+01,11.853,NOT_AVAILABLE,81.2462762000,9.6900465931,321.8139565509,65.4071730937
0.106775,299.12256,47.04399,10097040,6089,4.47,1.1347,9.152,0.372,,344.63,0.397,0.3108,0,299.12256,47.04399,299.1226012110,47.0439995428,0.022,0.017,90,299.1225657486,47.0440018071,,3562-1942-1,1635378410781933568,2085613544592922496,1108988,2015.0,0.186,0.287,3.88,0.38,-5.800,1.489,0.543,1.127,0.631,0.647,-0.707,-0.112,0.835,-0.744,-0.204,-0.837,-0.005,0.256,65,65,63,63,2,2,,0.44,2.310e+02,1,4.36,4.912,2.484e-05,5,10,0,0.332,0.277,0.204,0.527,-92.41165000,-63.93357000,42.01127000,8.45564650,79,6.86149e+05,2.71004e+03,10.934,NOT_AVAILABLE,81.3924990148,9.4323618194,322.4384679684,65.2682953225
0.080237,299.2327,47.04868,10097397,6393,3.9,1.237,1.586,0.009,,998.59,0.732,0.4898,0,299.2327,47.04868,299.2327325720,47.0486779538,0.021,0.012,90,299.2327746273,47.0487593133,,3562-2070-1,1635378410781933568,2085610727094375808,1319729,2015.0,0.135,0.213,3.88,0.27,6.877,1.370,19.526,0.797,0.626,0.675,-0.723,-0.524,0.786,-0.794,-0.683,-0.917,-0.478,0.484,107,107,105,106,2,1,,0.30,1.638e+02,1,3.11,9.611,2.671e-05,5,17,0,0.508,0.161,0.024,0.210,-109.84355000,85.83956000,44.62856300,15.51134200,135,9.49958e+05,4.75985e+02,10.581,NOT_AVAILABLE,81.4347681036,9.3697264629,322.6027174494,65.2377224896
0.083593,280.65189,47.13818,10118250,6287,4.14,1.1999,10.353,0.064,,508.19,0.4,0.2796,0,280.65189,47.13818,280.6519226450,47.1381867870,0.039,0.026,90,280.6519389280,47.1382321322,,3531-74-1,1635378410781933568,2119383326250932224,1652846,2015.0,0.348,0.580,1.55,0.70,2.658,2.632,10.883,1.755,0.189,0.286,-0.467,-0.171,0.729,-0.616,-0.667,-0.822,-0.470,0.229,80,80,80,73,0,7,,1.30,6.575e+02,1,12.63,0.591,2.645e-05,5,14,0,0.290,0.232,0.149,0.116,-117.02126000,56.68041200,-5.49021000,38.02575300,107,2.69502e+05,1.29841e+02,11.948,NOT_AVAILABLE,76.2260462970,20.9500704943,291.3433046736,69.7894812582
